sex,country_code,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18
2,566,17088071,15250399,13326157,11396960,9492658,7860065,6703479,5828640,4961126,4048796,3204823,2550837,1993369,1442073,941091,515199,207599,62713
0,624,311321,287408,255843,219351,188661,167317,146191,123438,96681,74018,55763,42773,34064,27639,17850,9288,4256,1499
1,624,157089,144779,128539,109832,93783,82100,70766,59056,45870,35014,26213,19579,14870,11262,6849,3378,1464,473
2,624,154232,142629,127304,109519,94878,85217,75425,64382,50811,39004,29550,23194,19194,16377,11001,5910,2792,1026
0,686,2671855,2507715,2230953,1883098,1597838,1376016,1174778,1001706,811687,637729,504830,395303,304727,232180,157673,95732,49343,20506
1,686,1355073,1270893,1129160,950314,800788,679706,566728,469932,369250,282238,220827,171319,129793,97813,65297,38994,19893,7802
2,686,1316782,1236822,1101793,932784,797050,696310,608050,531774,442437,355491,284003,223984,174934,134367,92376,56738,29450,12704
0,694,1181771,1090331,1018199,916071,790623,681446,583190,490578,399531,319201,252122,194426,144279,102497,70008,42449,20356,9364
1,694,592717,546583,510343,459776,396887,343058,295722,250011,203459,160763,124463,93350,66702,45212,29821,17535,8020,3435
2,694,589054,543748,507856,456295,393736,338388,287468,240567,196072,158438,127659,101076,77577,57285,40187,24914,12336,5929
0,768,1255942,1150811,1061207,942666,794582,664300,585331,521580,443134,357576,277087,211026,158196,114207,75850,42668,18332,6337
1,768,629727,577065,532557,473293,398839,333079,292943,260288,219776,175752,134757,101106,74533,53019,34689,19247,8091,2662
2,768,626215,573746,528650,469373,395743,331221,292388,261292,223358,181824,142330,109920,83663,61188,41161,23421,10241,3675
0,854,3607403,3209410,2857787,2457486,2046514,1692393,1401946,1175185,965174,755033,592625,459242,341123,239363,155764,90805,40884,14701
1,854,1835747,1633302,1454735,1251912,1040185,855388,704158,585965,475898,365626,280042,209787,148704,98493,61556,34931,15040,5102
2,854,1771656,1576108,1403052,1205574,1006329,837005,697788,589220,489276,389407,312583,249455,192419,140870,94208,55874,25844,9599
0,914,67555417,60269441,52942690,45531363,38319532,31965676,27008656,23018104,19278716,15645870,12389953,9786655,7505941,5364019,3507767,1985604,861646,302011
1,914,34437414,30685299,26923796,23119255,19412428,16153402,13601213,11517600,9596703,7748011,6068176,4740084,3584422,2515160,1620701,900526,379618,126649
2,914,33118003,29584142,26018894,22412108,18907104,15812274,13407443,11500504,9682013,7897859,6321777,5046571,3921519,2848859,1887066,1085078,482028,175362
0,192,535985,619372,611067,617208,677695,699815,800273,760668,601360,808396,989747,1002160,726338,549656,476836,363410,247587,218075
1,192,275397,318114,314063,317535,347855,361683,409845,386549,305027,407125,488796,486310,350104,258437,221130,165871,108405,88798
2,192,260588,301258,297004,299673,329840,338132,390428,374119,296333,401271,500951,515850,376234,291219,255706,197539,139182,129277
0,214,992534,1000106,980859,954387,932476,917688,854564,763207,687269,623317,559462,491917,412346,318559,224094,147344,97979,98266
1,214,506605,510098,500168,486450,474307,461925,423850,381799,343058,306957,272984,238136,199122,152705,105563,67920,43897,41965
2,214,485929,490008,480691,467937,458169,455763,430714,381408,344211,316360,286478,253781,213224,165854,118531,79424,54082,56301
0,312,24049,21079,25938,29376,29124,21921,16197,16401,19334,25204,29600,31315,28471,24243,20453,14907,10100,12090
1,312,12272,10651,13322,14971,14605,11306,7667,6468,7596,10559,12979,14107,13015,10803,9101,6407,4103,4209
2,312,11777,10428,12616,14405,14519,10615,8530,9933,11738,14645,16621,17208,15456,13440,11352,8500,5997,7881
0,332,1257430,1240658,1209319,1153825,1079415,995377,918615,856346,699774,517798,432123,381095,309927,242942,165869,108988,67318,43469
1,332,641099,631028,614269,582732,538121,491151,451146,418750,338904,245910,205008,180497,146577,113538,74318,47327,28285,16622
2,332,616331,609630,595050,571093,541294,504226,467469,437596,360870,271888,227115,200598,163350,129404,91551,61661,39033,26847
0,388,224970,234693,226963,228173,249613,256054,238695,218424,187235,175128,173493,155582,131241,98979,73094,51773,32531,28446
